source_id,name,name_ms,category,calories_kcal,protein_g,fat_g,carbs_g,fibre_g,sugar_g,sodium_mg,serving_name,serving_grams,source_name,source_url,source_published_date
MY043,Ayam Goreng Berempah,Ayam Goreng Berempah,Poultry & Meat Dishes,260.0,24.0,17.0,3.0,0.5,0.8,390.0,1 piece,130.0,FitLoop estimated reference,,
MY044,Ayam Percik,Ayam Percik,Poultry & Meat Dishes,210.0,22.0,11.0,6.0,0.8,4.0,420.0,1 piece,150.0,FitLoop estimated reference,,
MY045,Rendang Daging,Rendang Daging,Poultry & Meat Dishes,240.0,19.0,16.0,5.0,1.0,3.0,460.0,1 serving,140.0,FitLoop estimated reference,,
MY046,Rendang Ayam,Rendang Ayam,Poultry & Meat Dishes,220.0,20.0,13.0,6.0,1.0,3.0,430.0,1 serving,150.0,FitLoop estimated reference,,
MY047,Satay Ayam,Sate Ayam,Poultry & Meat Dishes,215.0,18.0,12.0,8.0,0.8,6.0,380.0,5 skewers,150.0,FitLoop estimated reference,,
MY048,Satay Daging,Sate Daging,Poultry & Meat Dishes,235.0,20.0,14.0,7.5,0.8,5.5,400.0,5 skewers,150.0,FitLoop estimated reference,,
MY049,Kari Ayam,Kari Ayam,Poultry & Meat Dishes,175.0,14.0,11.0,5.0,0.9,2.0,440.0,1 bowl,200.0,FitLoop estimated reference,,
MY050,Ayam Masak Merah,Ayam Masak Merah,Poultry & Meat Dishes,190.0,18.0,10.0,8.0,1.0,4.5,450.0,1 piece,150.0,FitLoop estimated reference,,
MY051,Daging Masak Kicap,Daging Masak Kicap,Poultry & Meat Dishes,210.0,19.5,12.0,6.5,0.8,4.0,490.0,1 serving,130.0,FitLoop estimated reference,,
MY052,Ayam Kurma,Ayam Kurma,Poultry & Meat Dishes,180.0,17.0,11.0,4.5,0.8,1.5,420.0,1 serving,150.0,FitLoop estimated reference,,
MY053,Daging Dendeng,Daging Dendeng,Poultry & Meat Dishes,280.0,25.0,16.0,9.0,0.8,7.0,510.0,1 serving,100.0,FitLoop estimated reference,,
MY054,Bak Kut Teh,Bak Kut Teh Soup,Poultry & Meat Dishes,160.0,15.0,10.5,2.0,0.5,1.0,620.0,1 bowl,300.0,FitLoop estimated reference,,
MY055,Ikan Bakar,Ikan Bakar Sambal,Fish & Seafood,160.0,22.0,7.0,2.0,0.5,1.0,360.0,1 fish,180.0,FitLoop estimated reference,,
MY056,Sambal Udang,Sambal Udang,Fish & Seafood,155.0,16.0,8.0,5.0,0.8,3.0,520.0,1 serving,130.0,FitLoop estimated reference,,
MY057,Sambal Sotong,Sambal Sotong,Fish & Seafood,145.0,15.0,7.0,6.0,0.7,3.5,540.0,1 serving,130.0,FitLoop estimated reference,,
MY058,Kari Ikan,Kari Ikan Tenggiri,Fish & Seafood,150.0,16.0,8.5,3.5,0.8,1.5,460.0,1 piece,160.0,FitLoop estimated reference,,
MY059,Sotong Goreng Tepung,Sotong Goreng Tepung Crispy,Fish & Seafood,245.0,14.0,15.0,14.0,0.5,1.0,480.0,1 plate,150.0,FitLoop estimated reference,,
MY060,Asam Pedas Ikan,Asam Pedas Ikan Pari,Fish & Seafood,135.0,15.5,6.5,4.0,1.2,2.0,580.0,1 bowl,220.0,FitLoop estimated reference,,
MY061,Otak-Otak,Otak-Otak Ikan,Fish & Seafood,170.0,13.0,9.0,10.0,0.6,3.0,440.0,3 pieces,75.0,FitLoop estimated reference,,
MY062,Kangkung Belacan,Kangkung Goreng Belacan,Vegetables & Soups,75.0,3.0,4.5,6.0,2.5,2.0,420.0,1 plate,150.0,FitLoop estimated reference,,
MY063,Sayur Lodeh,Sayur Lodeh,Vegetables & Soups,95.0,3.0,6.5,7.0,2.0,3.0,360.0,1 bowl,200.0,FitLoop estimated reference,,
MY064,Tauhu Bakar,Tauhu Bakar Sambal Kacang,Vegetables & Soups,120.0,8.0,5.0,11.0,2.0,7.0,310.0,2 pieces,120.0,FitLoop estimated reference,,
MY065,Yong Tau Foo,Yong Tau Foo Sup,Vegetables & Soups,110.0,8.5,4.5,9.0,1.8,2.0,480.0,1 bowl,250.0,FitLoop estimated reference,,
MY066,Sup Ekor,Sup Ekor Lembu,Vegetables & Soups,150.0,12.0,10.0,3.0,0.5,1.0,580.0,1 bowl,300.0,FitLoop estimated reference,,
MY067,Sup Ayam,Sup Ayam Herba,Vegetables & Soups,90.0,11.0,4.0,2.5,0.4,0.8,420.0,1 bowl,280.0,FitLoop estimated reference,,
MY068,Sup Tulang,Sup Tulang Merah,Vegetables & Soups,160.0,14.0,11.0,2.0,0.3,1.0,590.0,1 bowl,300.0,FitLoop estimated reference,,
MY069,Sambal Terung,Terung Goreng Sambal,Vegetables & Soups,85.0,2.0,5.5,7.5,2.8,3.0,380.0,1 plate,130.0,FitLoop estimated reference,,
MY070,Tomyam Seafood,Tomyam Campur,Vegetables & Soups,80.0,7.5,3.5,5.0,1.0,2.5,650.0,1 bowl,250.0,FitLoop estimated reference,,
MY071,Karipap,Karipap Kentang,Snacks & Street Food,310.0,5.5,16.0,36.0,2.5,3.5,340.0,1 piece,50.0,FitLoop estimated reference,,
MY072,Karipap Daging,Karipap Daging Lembu,Snacks & Street Food,325.0,8.0,17.5,34.0,2.2,3.0,370.0,1 piece,55.0,FitLoop estimated reference,,
MY073,Popiah Basah,Popiah Basah,Snacks & Street Food,135.0,4.5,3.5,21.0,2.5,5.0,360.0,2 rolls,140.0,FitLoop estimated reference,,
MY074,Popiah Goreng,Popiah Goreng Crispy,Snacks & Street Food,240.0,5.0,13.0,26.0,2.0,3.5,390.0,2 pieces,100.0,FitLoop estimated reference,,
MY075,Pisang Goreng,Pisang Goreng Crispy,Snacks & Street Food,240.0,2.0,11.0,34.0,2.0,16.0,90.0,2 pieces,90.0,FitLoop estimated reference,,
MY076,Cucur Udang,Cokodok / Cucur Udang,Snacks & Street Food,230.0,6.0,11.5,26.0,1.5,2.0,410.0,3 pieces,90.0,FitLoop estimated reference,,
MY077,Keropok Lekor,Keropok Lekor Goreng,Snacks & Street Food,215.0,11.5,7.5,26.0,0.8,2.0,480.0,5 pieces,100.0,FitLoop estimated reference,,
MY078,Rojak Buah,Rojak Buah Petis,Snacks & Street Food,115.0,2.5,2.0,23.0,3.0,18.0,290.0,1 plate,200.0,FitLoop estimated reference,,
MY079,Rojak Mamak,Pasembur / Rojak Mamak,Snacks & Street Food,185.0,6.5,7.5,24.0,2.5,10.0,430.0,1 plate,250.0,FitLoop estimated reference,,
MY080,Kuih Seri Muka,Kuih Seri Muka,Traditional Malaysian Kuih,210.0,3.5,6.0,36.0,1.2,18.0,110.0,1 piece,60.0,FitLoop estimated reference,,
MY081,Kuih Lapis,Kuih Lapis Pelangi,Traditional Malaysian Kuih,195.0,2.0,4.0,38.0,0.8,19.0,80.0,1 piece,60.0,FitLoop estimated reference,,
MY082,Onde-Onde,Onde-Onde Buah Melaka,Traditional Malaysian Kuih,225.0,2.5,5.0,43.0,1.5,22.0,60.0,3 pieces,60.0,FitLoop estimated reference,,
MY083,Kuih Ketayap,Kuih Dadar Gulung,Traditional Malaysian Kuih,205.0,3.0,5.5,36.0,1.5,20.0,95.0,1 piece,55.0,FitLoop estimated reference,,
MY084,Kuih Bom,Kuih Bom Bijan,Traditional Malaysian Kuih,335.0,6.54,11.59,51.21,7.4,8.93,0.0,1 piece,33.5,MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R214010/0/10/-1/0/0/,2026-06-26
MY085,Kuih Talam,Kuih Talam Pandan,Traditional Malaysian Kuih,180.0,2.5,4.5,33.0,0.8,17.0,90.0,1 piece,60.0,FitLoop estimated reference,,
MY086,Pulut Panggang,Pulut Panggang Sambal,Traditional Malaysian Kuih,220.0,4.5,7.0,35.0,1.2,5.0,220.0,1 piece,70.0,FitLoop estimated reference,,
MY087,Apam Balik,Apam Balik Kacang Jagung,Traditional Malaysian Kuih,260.0,6.0,9.0,39.0,2.0,18.0,220.0,1 piece,90.0,FitLoop estimated reference,,
MY088,Cendol,Cendol Santan Gula Melaka,Desserts,130.0,1.5,5.0,20.0,0.8,16.0,50.0,1 bowl,250.0,FitLoop estimated reference,,
MY089,Ais Kacang,ABC / Ais Kacang,Desserts,120.0,2.0,2.5,23.0,1.5,19.0,45.0,1 bowl,280.0,FitLoop estimated reference,,
MY090,Teh Tarik,Teh Tarik Kaw,Beverages,83.0,2.0,3.0,12.0,0.0,11.0,40.0,1 glass,240.0,FitLoop estimated reference,,
MY091,Teh Ais,Teh Ais Manis,Beverages,75.0,1.5,2.5,12.0,0.0,11.0,35.0,1 glass,250.0,FitLoop estimated reference,,
MY092,Kopi O,Kopi O Kurang Manis,Beverages,45.0,0.5,0.2,10.5,0.0,10.0,15.0,1 cup,200.0,FitLoop estimated reference,,
MY093,Kopi Ais,Kopi Ais Kaw,Beverages,85.0,1.8,3.0,13.0,0.0,12.0,40.0,1 glass,250.0,FitLoop estimated reference,,
MY094,Milo Ais,Milo Ais Kaw,Beverages,90.0,2.8,3.2,13.0,0.8,11.5,55.0,1 glass,250.0,FitLoop estimated reference,,
MY095,Milo Dinosaur,Milo Dinosaur,Beverages,130.0,4.0,4.5,19.0,1.2,17.0,70.0,1 glass,300.0,FitLoop estimated reference,,
MY096,Sirap Bandung,Sirap Bandung Ais,Beverages,85.0,1.8,2.5,14.0,0.0,13.5,30.0,1 glass,250.0,FitLoop estimated reference,,
MY097,Air Soya,Soya Bean Milk / Air Soya,Beverages,55.0,3.0,1.5,7.5,0.5,6.5,20.0,1 glass,250.0,FitLoop estimated reference,,
MY098,Barley Ais,Air Barli Suam/Ais,Beverages,50.0,0.8,0.2,11.5,0.5,8.5,10.0,1 glass,250.0,FitLoop estimated reference,,
MY099,Limau Ais,Air Limau Kasturi Ais,Beverages,35.0,0.2,0.1,8.5,0.2,8.0,5.0,1 glass,250.0,FitLoop estimated reference,,
MY100,Air Mata Kucing,Air Mata Kucing / Longan,Beverages,60.0,0.5,0.1,14.5,0.5,13.5,15.0,1 glass,250.0,FitLoop estimated reference,,
